Algoritma,Run,ResponseTime,Throughput
IPHash,1,1.268,3943.54
IPHash,2,1.143,4374.24
IPHash,3,1.113,4493.61
IPHash,4,1.040,4807.46
IPHash,5,1.377,3631.19
IPHash,6,1.172,4266.52
IPHash,7,1.093,4576.18
IPHash,8,1.273,3928.67
IPHash,9,1.440,3472.90
IPHash,10,0.986,5071.97
IPHash,11,1.204,4152.89
IPHash,12,1.068,4681.91
IPHash,13,1.410,3545.91
IPHash,14,1.202,4158.09
IPHash,15,1.160,4309.77
IPHash,16,1.246,4014.39
IPHash,17,1.446,3456.76
IPHash,18,1.161,4306.98
IPHash,19,1.155,4327.15
IPHash,20,1.179,4241.55
IPHash,21,1.330,3759.09
IPHash,22,1.148,4355.69
IPHash,23,1.091,4581.59
IPHash,24,1.501,3331.15
IPHash,25,1.627,3073.05
IPHash,26,1.161,4306.76
IPHash,27,1.228,4070.04
IPHash,28,1.147,4359.33
IPHash,29,1.306,3829.54
IPHash,30,1.081,4623.61
IPHash,31,1.097,4556.58
IPHash,32,1.398,3576.31
IPHash,33,1.276,3918.48
IPHash,34,1.106,4520.57
IPHash,35,1.093,4572.77
IPHash,36,1.196,4179.71
IPHash,37,1.307,3825.89
IPHash,38,1.091,4581.15
IPHash,39,1.169,4276.08
IPHash,40,1.326,3770.97
IPHash,41,1.218,4106.34
IPHash,42,1.200,4167.60
IPHash,43,1.529,3269.13
IPHash,44,1.159,4312.32
IPHash,45,1.230,4066.05
IPHash,46,1.153,4336.19
IPHash,47,1.288,3882.21
IPHash,48,1.346,3714.83
IPHash,49,1.327,3769.10
IPHash,50,1.110,4505.26
IPHash,51,1.422,3515.56
IPHash,52,1.079,4632.50
IPHash,53,1.112,4494.64
IPHash,54,1.283,3896.69
IPHash,55,1.765,2832.48
IPHash,56,1.148,4356.31
IPHash,57,1.211,4128.68
IPHash,58,1.232,4058.36
IPHash,59,1.071,4670.34
IPHash,60,1.167,4282.99
IPHash,61,1.338,3737.34
IPHash,62,1.514,3302.31
IPHash,63,1.426,3507.41
IPHash,64,1.325,3774.47
IPHash,65,1.444,3462.44
IPHash,66,1.081,4626.12
IPHash,67,1.149,4350.80
IPHash,68,1.105,4526.14
IPHash,69,1.288,3883.16
IPHash,70,1.413,3538.86
IPHash,71,1.288,3881.79
IPHash,72,1.139,4388.87
IPHash,73,1.556,3214.31
IPHash,74,1.218,4103.88
IPHash,75,1.144,4372.25
IPHash,76,1.337,3740.21
IPHash,77,1.388,3601.37
IPHash,78,1.332,3753.95
IPHash,79,1.104,4528.53
IPHash,80,1.173,4263.59
IPHash,81,1.291,3872.26
IPHash,82,1.077,4644.29
IPHash,83,1.143,4376.21
IPHash,84,1.166,4287.74
IPHash,85,1.286,3887.21
IPHash,86,1.298,3852.76
IPHash,87,1.240,4032.05
IPHash,88,1.116,4480.65
IPHash,89,1.477,3385.96
IPHash,90,1.088,4596.86
IPHash,91,1.158,4316.06
IPHash,92,1.161,4306.63
IPHash,93,1.274,3924.31
IPHash,94,1.155,4329.04
IPHash,95,1.105,4526.73
IPHash,96,1.155,4330.58
IPHash,97,1.239,4037.11
IPHash,98,1.119,4470.27
IPHash,99,1.110,4505.11
IPHash,100,1.189,4205.13
