Algoritma,Run,ResponseTime,Throughput
IPHash,1,0.850,5882.28
IPHash,2,0.860,5816.32
IPHash,3,0.837,5976.14
IPHash,4,1.153,4337.38
IPHash,5,0.826,6054.66
IPHash,6,1.035,4828.96
IPHash,7,0.903,5535.50
IPHash,8,0.780,6411.98
IPHash,9,1.196,4181.02
IPHash,10,0.809,6179.17
IPHash,11,0.808,6185.98
IPHash,12,0.811,6167.21
IPHash,13,0.810,6169.87
IPHash,14,0.819,6105.38
IPHash,15,0.802,6236.67
IPHash,16,0.921,5430.89
IPHash,17,0.789,6338.74
IPHash,18,0.809,6178.33
IPHash,19,0.813,6150.14
IPHash,20,0.817,6120.40
IPHash,21,0.740,6760.32
IPHash,22,0.834,5997.29
IPHash,23,0.866,5775.94
IPHash,24,0.832,6011.42
IPHash,25,0.807,6193.41
IPHash,26,0.977,5119.44
IPHash,27,0.818,6113.67
IPHash,28,0.811,6164.09
IPHash,29,0.832,6013.01
IPHash,30,0.768,6509.48
IPHash,31,1.122,4455.37
IPHash,32,0.838,5969.44
IPHash,33,0.961,5201.89
IPHash,34,0.982,5092.27
IPHash,35,0.784,6379.10
IPHash,36,0.976,5124.74
IPHash,37,0.852,5869.30
IPHash,38,0.822,6079.10
IPHash,39,0.774,6457.36
IPHash,40,0.774,6460.03
IPHash,41,0.786,6358.65
IPHash,42,0.807,6193.25
IPHash,43,0.802,6236.12
IPHash,44,0.798,6262.53
IPHash,45,0.849,5886.51
IPHash,46,1.079,4632.46
IPHash,47,0.865,5781.28
IPHash,48,0.843,5931.83
IPHash,49,0.783,6385.53
IPHash,50,0.780,6406.56
IPHash,51,0.942,5309.77
IPHash,52,0.781,6401.39
IPHash,53,0.818,6115.91
IPHash,54,0.786,6363.10
IPHash,55,0.770,6489.29
IPHash,56,1.039,4810.93
IPHash,57,0.905,5526.39
IPHash,58,1.109,4507.51
IPHash,59,0.872,5735.33
IPHash,60,0.810,6171.24
IPHash,61,0.907,5512.98
IPHash,62,0.784,6378.20
IPHash,63,1.008,4960.51
IPHash,64,0.789,6337.78
IPHash,65,0.852,5869.10
IPHash,66,1.110,4502.88
IPHash,67,0.834,5997.00
IPHash,68,1.077,4640.41
IPHash,69,0.810,6170.10
IPHash,70,0.825,6058.11
IPHash,71,0.919,5438.80
IPHash,72,0.840,5953.16
IPHash,73,0.912,5484.98
IPHash,74,0.832,6007.38
IPHash,75,0.801,6243.68
IPHash,76,1.101,4542.69
IPHash,77,0.895,5587.03
IPHash,78,0.801,6238.85
IPHash,79,0.825,6057.30
IPHash,80,0.784,6374.22
IPHash,81,0.822,6079.25
IPHash,82,0.791,6321.51
IPHash,83,0.829,6032.45
IPHash,84,0.814,6144.17
IPHash,85,0.782,6395.74
IPHash,86,0.912,5481.43
IPHash,87,0.798,6267.86
IPHash,88,0.842,5939.86
IPHash,89,0.799,6257.74
IPHash,90,0.778,6425.66
IPHash,91,1.104,4528.90
IPHash,92,0.787,6352.19
IPHash,93,0.775,6452.86
IPHash,94,0.822,6081.91
IPHash,95,0.798,6268.33
IPHash,96,0.860,5813.28
IPHash,97,0.784,6375.11
IPHash,98,0.845,5918.70
IPHash,99,0.791,6320.39
IPHash,100,0.846,5911.42
