Algoritma,Run,ResponseTime,Throughput
LeastConnection,1,1.616,3094.58
LeastConnection,2,1.778,2812.57
LeastConnection,3,1.688,2961.86
LeastConnection,4,1.662,3009.19
LeastConnection,5,1.717,2911.98
LeastConnection,6,1.672,2989.86
LeastConnection,7,1.651,3027.92
LeastConnection,8,1.529,3269.10
LeastConnection,9,1.658,3014.80
LeastConnection,10,1.624,3078.44
LeastConnection,11,1.556,3214.24
LeastConnection,12,1.648,3034.52
LeastConnection,13,1.812,2759.24
LeastConnection,14,1.577,3170.02
LeastConnection,15,1.489,3357.42
LeastConnection,16,2.255,2217.33
LeastConnection,17,1.587,3151.16
LeastConnection,18,1.633,3061.49
LeastConnection,19,1.646,3037.32
LeastConnection,20,2.029,2464.81
LeastConnection,21,2.628,1902.55
LeastConnection,22,2.105,2375.15
LeastConnection,23,1.641,3047.55
LeastConnection,24,1.495,3344.40
LeastConnection,25,1.579,3166.45
LeastConnection,26,1.607,3111.12
LeastConnection,27,1.531,3265.37
LeastConnection,28,1.619,3088.91
LeastConnection,29,1.735,2882.28
LeastConnection,30,1.532,3262.75
LeastConnection,31,1.590,3143.78
LeastConnection,32,1.629,3070.19
LeastConnection,33,1.812,2759.71
LeastConnection,34,1.594,3137.11
LeastConnection,35,1.647,3034.91
LeastConnection,36,1.508,3316.27
LeastConnection,37,1.670,2994.77
LeastConnection,38,2.262,2210.24
LeastConnection,39,1.576,3172.37
LeastConnection,40,2.044,2446.61
LeastConnection,41,2.239,2233.17
LeastConnection,42,2.186,2287.45
LeastConnection,43,2.209,2263.31
LeastConnection,44,2.149,2326.22
LeastConnection,45,2.037,2454.31
LeastConnection,46,2.228,2243.84
LeastConnection,47,1.958,2553.78
LeastConnection,48,1.919,2605.48
LeastConnection,49,2.200,2273.24
LeastConnection,50,1.929,2591.42
LeastConnection,51,1.780,2809.11
LeastConnection,52,1.811,2761.26
LeastConnection,53,1.733,2884.54
LeastConnection,54,1.636,3056.12
LeastConnection,55,1.714,2916.63
LeastConnection,56,1.580,3164.89
LeastConnection,57,2.197,2275.32
LeastConnection,58,1.597,3131.22
LeastConnection,59,1.744,2866.48
LeastConnection,60,1.586,3152.83
LeastConnection,61,1.763,2836.82
LeastConnection,62,1.680,2975.53
LeastConnection,63,1.837,2722.38
LeastConnection,64,1.775,2817.18
LeastConnection,65,2.135,2341.85
LeastConnection,66,1.873,2669.51
LeastConnection,67,1.993,2508.30
LeastConnection,68,1.837,2721.79
LeastConnection,69,1.837,2722.53
LeastConnection,70,2.139,2337.55
LeastConnection,71,1.877,2663.81
LeastConnection,72,1.974,2532.94
LeastConnection,73,2.631,1900.36
LeastConnection,74,1.821,2746.03
LeastConnection,75,1.844,2711.69
LeastConnection,76,1.751,2855.66
LeastConnection,77,2.138,2338.47
LeastConnection,78,2.070,2415.76
LeastConnection,79,1.994,2508.06
LeastConnection,80,1.995,2506.65
LeastConnection,81,1.939,2578.99
LeastConnection,82,1.744,2866.67
LeastConnection,83,1.876,2665.60
LeastConnection,84,2.318,2157.47
LeastConnection,85,2.075,2409.79
LeastConnection,86,2.141,2335.80
LeastConnection,87,2.460,2032.58
LeastConnection,88,1.721,2904.45
LeastConnection,89,1.669,2995.11
LeastConnection,90,1.699,2943.07
LeastConnection,91,1.650,3030.25
LeastConnection,92,1.967,2541.95
LeastConnection,93,1.984,2519.76
LeastConnection,94,1.840,2717.12
LeastConnection,95,1.719,2908.97
LeastConnection,96,1.726,2896.07
LeastConnection,97,1.684,2969.57
LeastConnection,98,1.940,2577.92
LeastConnection,99,1.613,3099.13
LeastConnection,100,1.861,2686.37
