Algoritma,Run,ResponseTime,Throughput
LeastConnection,1,1.077,4643.65
LeastConnection,2,1.074,4653.76
LeastConnection,3,1.312,3810.98
LeastConnection,4,1.080,4629.59
LeastConnection,5,1.103,4535.02
LeastConnection,6,1.144,4369.06
LeastConnection,7,1.108,4510.72
LeastConnection,8,1.178,4244.52
LeastConnection,9,1.015,4927.37
LeastConnection,10,1.075,4650.25
LeastConnection,11,1.027,4867.79
LeastConnection,12,1.035,4829.98
LeastConnection,13,1.132,4418.33
LeastConnection,14,1.020,4900.71
LeastConnection,15,1.146,4364.49
LeastConnection,16,1.096,4560.92
LeastConnection,17,1.199,4168.47
LeastConnection,18,1.136,4401.91
LeastConnection,19,1.072,4664.83
LeastConnection,20,1.134,4407.42
LeastConnection,21,1.057,4730.77
LeastConnection,22,1.335,3744.34
LeastConnection,23,1.009,4955.60
LeastConnection,24,1.061,4712.18
LeastConnection,25,1.090,4586.27
LeastConnection,26,1.061,4712.05
LeastConnection,27,1.062,4708.23
LeastConnection,28,1.081,4626.50
LeastConnection,29,1.252,3992.11
LeastConnection,30,1.110,4506.01
LeastConnection,31,1.159,4315.14
LeastConnection,32,1.153,4338.06
LeastConnection,33,1.032,4847.07
LeastConnection,34,1.067,4687.13
LeastConnection,35,1.110,4504.02
LeastConnection,36,1.057,4731.94
LeastConnection,37,1.367,3657.43
LeastConnection,38,1.025,4877.95
LeastConnection,39,1.113,4492.16
LeastConnection,40,1.077,4643.99
LeastConnection,41,1.130,4426.03
LeastConnection,42,1.053,4749.51
LeastConnection,43,1.072,4663.35
LeastConnection,44,1.017,4916.18
LeastConnection,45,1.068,4681.91
LeastConnection,46,1.129,4428.89
LeastConnection,47,1.142,4377.56
LeastConnection,48,1.063,4702.47
LeastConnection,49,1.050,4760.73
LeastConnection,50,1.086,4604.18
LeastConnection,51,1.078,4638.43
LeastConnection,52,1.063,4702.96
LeastConnection,53,1.070,4672.37
LeastConnection,54,1.083,4618.34
LeastConnection,55,1.103,4531.94
LeastConnection,56,1.490,3354.62
LeastConnection,57,1.050,4762.36
LeastConnection,58,1.047,4776.60
LeastConnection,59,1.012,4939.83
LeastConnection,60,1.077,4641.28
LeastConnection,61,1.368,3653.90
LeastConnection,62,1.068,4680.60
LeastConnection,63,1.143,4373.99
LeastConnection,64,1.179,4241.35
LeastConnection,65,1.121,4459.99
LeastConnection,66,1.267,3945.36
LeastConnection,67,1.035,4831.66
LeastConnection,68,1.076,4646.49
LeastConnection,69,1.076,4646.80
LeastConnection,70,1.088,4595.00
LeastConnection,71,1.166,4289.45
LeastConnection,72,1.063,4703.89
LeastConnection,73,1.055,4738.84
LeastConnection,74,1.028,4865.38
LeastConnection,75,1.079,4635.25
LeastConnection,76,1.236,4044.55
LeastConnection,77,1.100,4544.42
LeastConnection,78,1.141,4381.70
LeastConnection,79,1.087,4600.03
LeastConnection,80,1.168,4282.51
LeastConnection,81,1.212,4126.26
LeastConnection,82,1.092,4578.17
LeastConnection,83,1.059,4723.13
LeastConnection,84,1.072,4662.05
LeastConnection,85,1.192,4195.83
LeastConnection,86,1.946,2569.89
LeastConnection,87,1.096,4562.00
LeastConnection,88,1.054,4742.12
LeastConnection,89,1.153,4336.74
LeastConnection,90,1.091,4583.29
LeastConnection,91,1.201,4163.06
LeastConnection,92,1.034,4834.33
LeastConnection,93,1.086,4602.57
LeastConnection,94,1.033,4839.90
LeastConnection,95,1.201,4164.20
LeastConnection,96,1.202,4158.56
LeastConnection,97,1.088,4593.98
LeastConnection,98,1.043,4793.31
LeastConnection,99,1.037,4823.69
LeastConnection,100,1.022,4894.33
