Algoritma,Run,ResponseTime,Throughput
RoundRobin,1,2.103,2377.69
RoundRobin,2,1.681,2974.25
RoundRobin,3,1.542,3242.69
RoundRobin,4,1.610,3106.03
RoundRobin,5,2.069,2416.88
RoundRobin,6,1.594,3136.65
RoundRobin,7,1.727,2895.39
RoundRobin,8,1.660,3011.39
RoundRobin,9,1.695,2950.64
RoundRobin,10,1.471,3398.55
RoundRobin,11,1.669,2995.82
RoundRobin,12,1.681,2974.98
RoundRobin,13,1.932,2587.70
RoundRobin,14,1.474,3391.15
RoundRobin,15,1.674,2986.54
RoundRobin,16,1.811,2761.13
RoundRobin,17,1.555,3216.17
RoundRobin,18,1.651,3029.23
RoundRobin,19,1.818,2750.39
RoundRobin,20,1.599,3127.50
RoundRobin,21,1.665,3002.34
RoundRobin,22,1.738,2876.75
RoundRobin,23,1.703,2936.57
RoundRobin,24,1.604,3117.56
RoundRobin,25,1.775,2817.18
RoundRobin,26,1.499,3336.08
RoundRobin,27,1.537,3252.65
RoundRobin,28,1.514,3302.50
RoundRobin,29,1.789,2795.26
RoundRobin,30,2.023,2471.80
RoundRobin,31,1.641,3047.41
RoundRobin,32,1.474,3392.66
RoundRobin,33,1.624,3078.62
RoundRobin,34,1.510,3311.27
RoundRobin,35,1.559,3207.52
RoundRobin,36,1.576,3171.96
RoundRobin,37,1.639,3051.45
RoundRobin,38,1.541,3245.25
RoundRobin,39,1.549,3227.64
RoundRobin,40,1.546,3233.13
RoundRobin,41,1.607,3111.58
RoundRobin,42,1.491,3354.01
RoundRobin,43,1.561,3203.04
RoundRobin,44,2.013,2483.32
RoundRobin,45,1.822,2743.74
RoundRobin,46,1.527,3274.53
RoundRobin,47,2.080,2403.95
RoundRobin,48,1.559,3206.41
RoundRobin,49,1.556,3214.28
RoundRobin,50,1.653,3025.24
RoundRobin,51,1.725,2898.28
RoundRobin,52,1.546,3235.09
RoundRobin,53,1.784,2802.60
RoundRobin,54,1.640,3048.09
RoundRobin,55,1.555,3216.17
RoundRobin,56,1.655,3021.62
RoundRobin,57,1.703,2935.64
RoundRobin,58,1.550,3225.75
RoundRobin,59,1.839,2719.36
RoundRobin,60,1.600,3125.26
RoundRobin,61,1.869,2675.18
RoundRobin,62,1.573,3178.59
RoundRobin,63,1.656,3018.73
RoundRobin,64,1.626,3074.94
RoundRobin,65,1.806,2768.21
RoundRobin,66,1.710,2923.75
RoundRobin,67,1.647,3035.31
RoundRobin,68,1.559,3207.46
RoundRobin,69,1.651,3029.01
RoundRobin,70,1.727,2895.03
RoundRobin,71,2.092,2390.02
RoundRobin,72,1.604,3117.59
RoundRobin,73,1.650,3030.73
RoundRobin,74,1.562,3201.64
RoundRobin,75,1.689,2960.23
RoundRobin,76,1.605,3116.02
RoundRobin,77,1.743,2869.41
RoundRobin,78,1.542,3242.11
RoundRobin,79,1.513,3304.31
RoundRobin,80,1.558,3208.26
RoundRobin,81,2.351,2126.79
RoundRobin,82,1.569,3187.22
RoundRobin,83,1.737,2879.11
RoundRobin,84,1.635,3057.98
RoundRobin,85,1.771,2823.25
RoundRobin,86,1.488,3360.68
RoundRobin,87,1.534,3259.85
RoundRobin,88,1.690,2958.46
RoundRobin,89,1.650,3030.19
RoundRobin,90,1.691,2956.12
RoundRobin,91,1.756,2847.13
RoundRobin,92,1.552,3222.37
RoundRobin,93,1.964,2545.73
RoundRobin,94,1.579,3166.67
RoundRobin,95,1.528,3271.43
RoundRobin,96,1.939,2578.47
RoundRobin,97,1.742,2870.41
RoundRobin,98,1.538,3250.77
RoundRobin,99,1.633,3062.60
RoundRobin,100,1.654,3023.66
