Algoritma,Run,ResponseTime,Throughput
RoundRobin,1,0.910,5493.54
RoundRobin,2,0.816,6125.35
RoundRobin,3,0.995,5023.66
RoundRobin,4,0.877,5701.84
RoundRobin,5,0.835,5987.09
RoundRobin,6,0.767,6514.83
RoundRobin,7,0.813,6148.17
RoundRobin,8,0.819,6102.77
RoundRobin,9,0.774,6456.44
RoundRobin,10,0.786,6358.49
RoundRobin,11,1.086,4603.97
RoundRobin,12,0.807,6192.41
RoundRobin,13,0.773,6471.32
RoundRobin,14,0.834,5996.35
RoundRobin,15,0.818,6112.25
RoundRobin,16,0.887,5636.85
RoundRobin,17,0.868,5759.51
RoundRobin,18,0.806,6205.94
RoundRobin,19,0.797,6274.55
RoundRobin,20,0.803,6227.58
RoundRobin,21,0.815,6133.99
RoundRobin,22,0.808,6191.18
RoundRobin,23,0.802,6233.87
RoundRobin,24,0.779,6417.58
RoundRobin,25,0.989,5054.79
RoundRobin,26,0.845,5916.67
RoundRobin,27,0.759,6590.92
RoundRobin,28,0.772,6480.29
RoundRobin,29,0.823,6077.92
RoundRobin,30,1.075,4652.37
RoundRobin,31,0.803,6226.34
RoundRobin,32,0.798,6265.98
RoundRobin,33,0.794,6298.58
RoundRobin,34,0.827,6044.71
RoundRobin,35,1.041,4803.26
RoundRobin,36,0.823,6073.56
RoundRobin,37,0.781,6402.29
RoundRobin,38,0.825,6061.63
RoundRobin,39,0.909,5503.40
RoundRobin,40,0.832,6010.70
RoundRobin,41,1.163,4298.04
RoundRobin,42,0.798,6269.44
RoundRobin,43,0.759,6587.09
RoundRobin,44,0.864,5785.43
RoundRobin,45,0.985,5077.74
RoundRobin,46,0.846,5909.40
RoundRobin,47,0.830,6025.48
RoundRobin,48,0.863,5792.53
RoundRobin,49,0.829,6033.84
RoundRobin,50,0.877,5701.64
RoundRobin,51,0.765,6534.32
RoundRobin,52,0.916,5459.35
RoundRobin,53,0.861,5807.34
RoundRobin,54,0.899,5560.68
RoundRobin,55,1.136,4400.63
RoundRobin,56,1.034,4836.67
RoundRobin,57,0.840,5955.15
RoundRobin,58,0.821,6088.35
RoundRobin,59,0.803,6224.63
RoundRobin,60,0.788,6343.17
RoundRobin,61,0.860,5815.04
RoundRobin,62,0.766,6524.52
RoundRobin,63,0.836,5979.00
RoundRobin,64,0.786,6358.17
RoundRobin,65,1.052,4754.34
RoundRobin,66,1.032,4846.18
RoundRobin,67,0.759,6589.87
RoundRobin,68,0.789,6338.42
RoundRobin,69,0.811,6168.19
RoundRobin,70,0.980,5102.98
RoundRobin,71,0.780,6406.89
RoundRobin,72,0.787,6356.23
RoundRobin,73,0.795,6291.52
RoundRobin,74,0.801,6239.39
RoundRobin,75,1.097,4558.22
RoundRobin,76,0.772,6478.70
RoundRobin,77,0.782,6397.30
RoundRobin,78,0.775,6449.87
RoundRobin,79,0.831,6013.95
RoundRobin,80,0.768,6509.65
RoundRobin,81,0.851,5874.54
RoundRobin,82,0.810,6174.29
RoundRobin,83,0.984,5080.89
RoundRobin,84,0.794,6298.10
RoundRobin,85,1.252,3992.94
RoundRobin,86,0.850,5884.22
RoundRobin,87,0.815,6136.40
RoundRobin,88,0.794,6298.82
RoundRobin,89,0.833,6001.68
RoundRobin,90,1.093,4574.98
RoundRobin,91,0.872,5731.45
RoundRobin,92,0.811,6166.60
RoundRobin,93,0.838,5963.53
RoundRobin,94,0.815,6137.45
RoundRobin,95,1.018,4911.30
RoundRobin,96,0.768,6509.74
RoundRobin,97,0.780,6410.50
RoundRobin,98,0.800,6246.25
RoundRobin,99,0.796,6283.70
RoundRobin,100,0.768,6507.96
