Algoritma,Run,ResponseTime,Throughput
RoundRobin,1,3.015,1658.26
RoundRobin,2,0.999,5003.15
RoundRobin,3,1.028,4863.01
RoundRobin,4,1.170,4274.38
RoundRobin,5,1.131,4421.61
RoundRobin,6,1.086,4603.29
RoundRobin,7,1.041,4804.55
RoundRobin,8,1.134,4407.85
RoundRobin,9,1.068,4680.25
RoundRobin,10,1.219,4101.52
RoundRobin,11,1.105,4526.69
RoundRobin,12,1.058,4723.89
RoundRobin,13,1.027,4868.64
RoundRobin,14,1.030,4854.93
RoundRobin,15,1.054,4742.44
RoundRobin,16,1.369,3651.71
RoundRobin,17,1.129,4427.40
RoundRobin,18,1.147,4358.86
RoundRobin,19,1.112,4498.22
RoundRobin,20,1.079,4635.12
RoundRobin,21,1.046,4778.84
RoundRobin,22,1.179,4241.89
RoundRobin,23,1.058,4727.73
RoundRobin,24,1.072,4664.79
RoundRobin,25,1.002,4991.02
RoundRobin,26,1.150,4349.30
RoundRobin,27,1.083,4616.08
RoundRobin,28,1.051,4755.74
RoundRobin,29,1.098,4553.24
RoundRobin,30,1.010,4951.23
RoundRobin,31,1.076,4647.66
RoundRobin,32,1.087,4599.99
RoundRobin,33,1.109,4507.59
RoundRobin,34,1.084,4611.87
RoundRobin,35,1.246,4012.97
RoundRobin,36,1.538,3250.43
RoundRobin,37,1.039,4812.00
RoundRobin,38,1.084,4614.63
RoundRobin,39,1.076,4645.42
RoundRobin,40,1.145,4365.33
RoundRobin,41,1.488,3359.27
RoundRobin,42,1.025,4876.10
RoundRobin,43,1.308,3823.57
RoundRobin,44,1.012,4941.00
RoundRobin,45,1.245,4017.23
RoundRobin,46,1.133,4412.01
RoundRobin,47,1.236,4044.29
RoundRobin,48,1.035,4829.05
RoundRobin,49,1.074,4655.54
RoundRobin,50,1.361,3674.01
RoundRobin,51,1.163,4298.19
RoundRobin,52,1.046,4779.57
RoundRobin,53,1.002,4991.46
RoundRobin,54,1.067,4684.46
RoundRobin,55,1.069,4677.66
RoundRobin,56,1.441,3470.63
RoundRobin,57,1.103,4532.39
RoundRobin,58,1.011,4944.96
RoundRobin,59,1.115,4484.10
RoundRobin,60,1.278,3912.27
RoundRobin,61,1.130,4424.23
RoundRobin,62,1.043,4792.49
RoundRobin,63,1.097,4558.80
RoundRobin,64,1.043,4795.75
RoundRobin,65,1.275,3920.22
RoundRobin,66,1.598,3128.58
RoundRobin,67,1.033,4838.26
RoundRobin,68,1.000,5000.00
RoundRobin,69,1.030,4852.91
RoundRobin,70,1.057,4731.04
RoundRobin,71,1.376,3634.41
RoundRobin,72,1.066,4688.76
RoundRobin,73,1.018,4913.18
RoundRobin,74,1.025,4879.95
RoundRobin,75,1.336,3743.55
RoundRobin,76,1.167,4285.48
RoundRobin,77,1.105,4526.81
RoundRobin,78,1.061,4712.00
RoundRobin,79,1.111,4498.51
RoundRobin,80,1.405,3558.87
RoundRobin,81,1.542,3241.89
RoundRobin,82,1.090,4586.82
RoundRobin,83,1.181,4234.81
RoundRobin,84,1.085,4610.42
RoundRobin,85,1.434,3485.95
RoundRobin,86,0.992,5038.95
RoundRobin,87,1.181,4235.24
RoundRobin,88,1.088,4594.24
RoundRobin,89,1.206,4146.25
RoundRobin,90,1.272,3930.57
RoundRobin,91,1.189,4205.21
RoundRobin,92,1.056,4735.61
RoundRobin,93,1.070,4671.98
RoundRobin,94,1.069,4675.65
RoundRobin,95,1.371,3646.18
RoundRobin,96,1.346,3714.21
RoundRobin,97,1.100,4545.54
RoundRobin,98,1.041,4802.47
RoundRobin,99,1.078,4637.57
RoundRobin,100,1.397,3578.59
