Algoritma,Run,ResponseTime,Throughput
WeightedRR,1,1.028,4862.02
WeightedRR,2,1.036,4828.17
WeightedRR,3,1.183,4226.54
WeightedRR,4,0.979,5108.50
WeightedRR,5,1.100,4545.66
WeightedRR,6,1.086,4605.96
WeightedRR,7,1.025,4876.57
WeightedRR,8,1.037,4823.74
WeightedRR,9,1.065,4695.76
WeightedRR,10,1.003,4984.20
WeightedRR,11,1.161,4304.93
WeightedRR,12,1.001,4992.76
WeightedRR,13,1.006,4970.33
WeightedRR,14,1.003,4984.50
WeightedRR,15,1.097,4556.68
WeightedRR,16,1.452,3443.53
WeightedRR,17,1.331,3756.86
WeightedRR,18,1.304,3833.77
WeightedRR,19,1.000,5001.20
WeightedRR,20,1.106,4519.08
WeightedRR,21,1.734,2883.22
WeightedRR,22,1.044,4790.05
WeightedRR,23,1.011,4947.07
WeightedRR,24,1.016,4921.74
WeightedRR,25,1.002,4992.31
WeightedRR,26,1.060,4716.58
WeightedRR,27,1.540,3247.13
WeightedRR,28,1.061,4712.94
WeightedRR,29,1.063,4703.05
WeightedRR,30,1.040,4807.09
WeightedRR,31,1.707,2928.93
WeightedRR,32,1.137,4396.96
WeightedRR,33,0.986,5069.25
WeightedRR,34,1.029,4857.43
WeightedRR,35,1.027,4866.46
WeightedRR,36,1.126,4441.44
WeightedRR,37,1.029,4859.09
WeightedRR,38,1.004,4980.48
WeightedRR,39,1.015,4925.87
WeightedRR,40,1.007,4966.18
WeightedRR,41,1.598,3128.91
WeightedRR,42,1.077,4641.32
WeightedRR,43,1.087,4601.68
WeightedRR,44,1.052,4754.57
WeightedRR,45,1.074,4655.58
WeightedRR,46,1.346,3714.99
WeightedRR,47,1.066,4690.30
WeightedRR,48,1.277,3914.29
WeightedRR,49,1.054,4742.62
WeightedRR,50,1.348,3707.93
WeightedRR,51,1.383,3615.83
WeightedRR,52,1.058,4727.19
WeightedRR,53,1.111,4501.91
WeightedRR,54,1.159,4313.43
WeightedRR,55,1.110,4505.80
WeightedRR,56,1.522,3285.39
WeightedRR,57,1.015,4927.81
WeightedRR,58,1.041,4804.32
WeightedRR,59,0.999,5004.10
WeightedRR,60,1.064,4699.69
WeightedRR,61,1.516,3297.61
WeightedRR,62,1.063,4702.87
WeightedRR,63,1.056,4735.43
WeightedRR,64,1.042,4799.94
WeightedRR,65,1.123,4452.32
WeightedRR,66,1.380,3624.24
WeightedRR,67,0.969,5159.53
WeightedRR,68,1.029,4858.57
WeightedRR,69,1.052,4751.81
WeightedRR,70,1.301,3842.31
WeightedRR,71,1.253,3991.54
WeightedRR,72,1.064,4698.10
WeightedRR,73,1.076,4646.24
WeightedRR,74,1.075,4653.33
WeightedRR,75,1.153,4335.80
WeightedRR,76,1.152,4341.79
WeightedRR,77,1.059,4721.08
WeightedRR,78,1.034,4836.39
WeightedRR,79,0.981,5098.66
WeightedRR,80,1.054,4744.06
WeightedRR,81,1.288,3880.60
WeightedRR,82,1.027,4870.16
WeightedRR,83,1.052,4752.72
WeightedRR,84,1.057,4731.22
WeightedRR,85,1.225,4081.53
WeightedRR,86,1.183,4228.19
WeightedRR,87,1.056,4736.60
WeightedRR,88,1.111,4500.41
WeightedRR,89,1.042,4799.75
WeightedRR,90,1.021,4896.25
WeightedRR,91,1.027,4869.17
WeightedRR,92,1.100,4544.75
WeightedRR,93,1.290,3876.72
WeightedRR,94,1.284,3895.42
WeightedRR,95,1.040,4806.49
WeightedRR,96,1.202,4159.94
WeightedRR,97,1.020,4904.27
WeightedRR,98,1.079,4632.42
WeightedRR,99,1.060,4718.14
WeightedRR,100,0.997,5013.34
